id,user,crawler_time,post_time,link,like,comment,forward,child_comment_level,child_comment_comment_id,child_comment_comment_time,child_comment_like,child_comment_reply
3,b'XKY',2020-07-22 05:49:28,2020-07-15 18:52:00,http://www.weibo.com/3081216591/Jbl2UzAJJ,333907,67606,243538,2.0,4527397884401945,2020-7-16 19:33,5219,
3,b'XKY',2020-07-22 05:49:28,2020-07-15 18:52:00,http://www.weibo.com/3081216591/Jbl2UzAJJ,333907,67606,243538,2.0,4527397799465240,2020-7-16 19:33,5147,
4,b'XKY',2020-07-22 05:49:34,2020-07-11 12:18:00,http://www.weibo.com/3081216591/JaGL6mgw7,325354,55905,228069,1.0,4525478914579985,2020-7-11 12:28,14452,11861
5,b'XKY',2020-07-22 05:49:39,2020-07-08 17:55:00,http://www.weibo.com/3081216591/JagG7Bvdo,355941,52239,182251,1.0,4524476336733865,2020-7-8 18:04,15764,10092
6,b'XKY',2020-07-22 05:49:43,2020-07-04 18:29:00,http://www.weibo.com/3081216591/J9FcbEwIb,118825,18839,199377,,,,,
7,b'XKY',2020-07-22 05:49:52,2020-07-04 13:36:00,http://www.weibo.com/3081216591/J9Dh4owEH,346174,48769,233796,1.0,4522961816671549,2020-7-4 13:46,13891,5659
7,b'XKY',2020-07-22 05:49:52,2020-07-04 13:36:00,http://www.weibo.com/3081216591/J9Dh4owEH,346174,48769,233796,1.0,4522961694137883,2020-7-4 13:46,14325,6716
8,b'XKY',2020-07-22 05:49:56,2020-06-28 10:30:00,http://www.weibo.com/3081216591/J8HusbAFN,146549,28657,208588,,,,,
9,b'XKY',2020-07-22 05:49:59,2020-06-25 20:48:00,http://www.weibo.com/3081216591/J8jg27YdG,607818,178610,234479,2.0,4520058657077925,2020-6-26 13:30,18268,
10,b'XKY',2020-07-22 05:50:02,2020-06-22 12:39:00,http://www.weibo.com/3081216591/J7NMc7E9e,307429,37121,136242,1.0,4518596540612171,2020-6-22 12:40,15675,4883
11,b'XKY',2020-07-22 05:50:06,2020-06-21 11:43:00,http://www.weibo.com/3081216591/J7DYXtipf,198334,16579,44103,,,,,
